sentiment,review_body,product_category
-1,It is definitely pinned back on the model in the photograph. it made my 5 foot frame look short and wide.,Blouses
-1,I loved this shirt and attempted to buy it - however the armhole is so small i couldn't barely get the shirt off and almost had to call someone into the dressing room to pull it off of me. i'm usually a 6 and i tried on the 6 and 8  and both shirts had the same problem. it wasn't exactly the sleeve that was too tight  but the arm hole that was not big enough. it pulled across the top of my chest and was not roomy enough to slip in and out of. which was odd because the rest of shirt was fine. i d,Blouses
-1,I fell in love with this shirt the moment i saw it!  unfortunately  when i went to put it on  there was a hole running down the seam in the back. i went to store to exchange  wore the shirt  and someone tells me i have two holes in the back of my shirt. horrified  i went home  took a look  both holes along the seam! i will be returning this  i really liked this shirt!,Blouses
-1,This top runs super small in the upper arms  shoulder area..could not even stretch out my arms! ...other then that major problem  the length and body fit were perfect...i am true med and/or large in all retailer tops so i tried sizes 10  12 and neither worked for me due to arm/shoulder fit...disappointed because it really is a beautiful top...,Blouses
-1,"I bought two  one in white and one in blue print and wore the blue print top once and loved it. then i washed it according to the instructions on the tag (in cold gentle cycle and hung to dry). it shrunk up 4"" in the length and 2"" in the width and now it doesn't fit at all. also  after one wear  the buttons are coming off (before i even put it in the wash) and it's covered in loose threads. the quality is just not there. i'm going to return both and show the sales lady the difference in size on",Blouses
-1,I loved this blouse when i got it and wore it before washing. it fit really well and was flattering. the only time i laundered it i hand- washed it in cold water and hung it to dry. the blouse shrunk at least a full size and in awkward places. the sleeves are now tight and way too short. the overall length shortened by at least 2 inches. the top is so tight in the bust now that the buttons popped open. i'm very disappointed and surprised.i will be returning it as it is unwearable as is.,Blouses
-1,"The shirt is beautiful  but fits much too small. the stitching limits the space in your shoulders  and the hem too short. a petite frame would be able to pull this off- but i am a 5.10"" medium  and the shirt didn't work in every direction.",Blouses
-1,Absolutely beautiful top  worn once...hand washed and that's all she wrote..ruined!! the black trim bled all over the top!! i tried everything you could imagine to get this back to normal! do not recommend!! :(,Blouses
-1,I loved the design of this blouse and ordered it the first day it was available. unfortunately  i was disappointed on arrival. besides being more muted color-wise  the sizing is way off. i ordered the xxsp and it was huge on me. on the model  it looks like it skims the body  when in reality  it falls like a tent. i tried tucking it into a skirt  but there was just too much fabric.    though the neck worked for me  i can see how it might be too small for some people as it is very narrow. also  it,Blouses
0,I really wanted to like this shirt  but it made me look 9 months pregnant. which would be fine if i were pregnant.  it sits wired in the bust and flows out in the front and back. not flattering at all.,Blouses
0,"This top looks adorable in the product photos  so i had high hopes. i think i might be too short to pull it off  but like another reviewer said  i found it to be like a tent on me  billowing out in all directions. it was just overall too big on me--i even considered whether i could wear it as a dress  but the sleeves were also too billowy on me. i am 5'4""  120 lbs and tried the xs.",Blouses
